question,answer_llm,answer_orig,document
"How do I install Ollama on macOS, Windows, or Linux?","To install Ollama, go to:

https://ollama.com/download

Then choose your operating system:

- **macOS**: download the `.pkg` file and install it
- **Windows**: download the `.msi` file and install it
- **Linux**: run this command in your terminal:

```bash
curl -fsSL https://ollama.com/install.sh | sh
```

After installing, you can test it by running:

```bash
ollama run llama3
```

","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
What command should I run after installing Ollama to start using llama3 locally?,"Run:

```bash
ollama run llama3
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How can I check if the Ollama server is running on my machine?,"You can check it by running:

```bash
curl http://localhost:11434
```

If the Ollama server is running, you should get a response like:

```json
{""models"": [...]}  
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
Do I need to install a Python package to use Ollama from code?,"Yes. To use Ollama from Python code, install the Python client:

```bash
pip install ollama
```

Then you can use it like this:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
Can you show a simple Python example for chatting with llama3 through Ollama?,"Yes — here’s a simple Python example using the Ollama client:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": ""Hello! Can you help me?""}]
)

print(response['message']['content'])
```

Before running it, make sure:

1. Ollama is installed.
2. The model is started with:
   ```bash
   ollama run llama3
   ```
3. The Python client is installed:
   ```bash
   pip install ollama
   ```

If you get a connection refused error, restart the Ollama server with:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

","First, install Ollama by visiting [https://ollama.com/download](https://ollama.com/download) and choosing your operating system:

- **macOS**: Download the `.pkg` and install it.
- **Windows**: Download the `.msi` and install it.
- **Linux**: Run the following command in the terminal:

  ```bash
  curl -fsSL https://ollama.com/install.sh | sh
  ```

Once installed, open a terminal and type:

```bash
ollama run llama3
```

This command will:

- Download the LLaMA 3 model (~4GB).
- Start the model locally.
- Open a chat-like interface where you can type questions.

To test the Ollama local server, run the following command:

```bash
curl http://localhost:11434
```

You should receive a response similar to:

```json
{""models"": [...]}  
```

Then, install the Python client with:

```bash
pip install ollama
```

Here is a minimal Python example:

```python
import ollama

response = ollama.chat(
    model='llama3',
    messages=[{""role"": ""user"", ""content"": your_prompt}]
)

print(response['message']['content'])
```",1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG setup in the homework?,"Restart the Ollama server in your notebook:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stopped and restarted the notebook cell, rerun the cell that contains `ollama serve` as well.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
My notebook says connection refused with Ollama — what should I restart to make it work again?,"Restart the Ollama server. Use:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stopped and restarted the notebook cell, rerun the cell containing `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
Is there a quick command to bring Ollama back up after a refused connection error in the RAG assignment?,"Yes — you can restart Ollama with:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stop and restart the notebook cell, rerun the cell containing `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
I stopped the notebook cell that was running Ollama serve. What do I need to rerun to avoid the connection refused issue?,"Rerun the cell containing:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

If you stop and restart the notebook cell, you need to start `ollama serve` again to avoid the connection refused error.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
"When Ollama won’t respond in the homework, do I need to start the server again, and how do I do that?","Yes — if Ollama isn’t responding, you may need to restart the Ollama server.

Use:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

And if you stop and restart the notebook cell, rerun the cell containing `ollama serve`.","If you encounter this error while doing the homework, you can resolve it by restarting the Ollama server using the following command:

```bash
!nohup ollama serve > nohup.out 2>&1 &
```

Make sure to rerun the cell containing `ollama serve` if you stop and restart the notebook cell.",c6fc2d4d11
Why does my token count from `tiktoken` not match the number OpenAI shows in the API response?,"Because `tiktoken` only counts the text you pass in, while OpenAI’s API response includes extra internal chat-formatting tokens.

In particular:

- each chat message adds about 4 structural tokens
- the API adds about 2 tokens to start assistant generation
- whitespace, newlines, or uncommon Unicode can also shift counts a bit

So your visible prompt might be 320 tokens in `tiktoken`, but OpenAI may report 327 in `usage` because of those added tokens.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
How come I count 320 tokens locally but OpenAI says 327 for the same prompt?,"This is expected. If you count tokens locally with `tiktoken.encode()`, you’re usually only counting the visible text. OpenAI’s API also counts internal chat-formatting tokens.

Typical reasons for the difference:

- Each chat message adds about 4 structural tokens
- The API adds 2 extra tokens to start assistant generation
- Newlines, whitespace, or uncommon Unicode can add a bit more

So a prompt that looks like 320 tokens locally can show up as 327 tokens in OpenAI’s count.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
Does `chat.completions.create()` add extra tokens even if my message text is the same?,"Yes. Even if your visible message text is the same, `chat.completions.create()` can count extra tokens because OpenAI adds internal chat-formatting tokens.

From the context:
- Each message adds **4 structural tokens**
- The API adds **2 tokens globally** for assistant generation start
- Extra whitespace/newlines/unusual Unicode can also change the count slightly

So the API token count can be higher than a plain `tiktoken.encode()` count.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
What are the hidden tokens OpenAI includes for chat formatting and assistant start?,"OpenAI adds:

- **4 structural tokens per chat message**
- **2 extra tokens globally** to mark the start of the assistant’s response generation

So the hidden tokens are the chat formatting tokens plus the assistant-start tokens.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total a bit?","Yes. Extra newlines, whitespace, or unusual Unicode characters can slightly change the token total.","When using `tiktoken.encode()` to count tokens in your prompt, you might see a difference compared to OpenAI’s API response. For instance, you might get 320 tokens, while OpenAI reports 327. This is due to internal tokens added by OpenAI’s chat formatting.

Here’s what happens:

- Each message in a `chat.completions.create()` call (e.g., `{role: ""user"", content: ""...""}`) adds 4 structural tokens (role, content, separators).
- The API adds 2 tokens globally to mark the start of assistant response generation.
- Extra newlines, whitespace, or uncommon Unicode characters in your content may slightly increase the token count.

Thus, even if your visible text is 320 tokens, OpenAI may count 327 due to these internal additions.",bf0403d21b
"How can I make my API key load automatically when I enter a project folder, instead of exporting it in every new terminal?","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It will automatically load your API key when you `cd` into the project folder.

Example:

```bash
uv tool install dirdotenv

# add this to ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh
```

Then inside your project:

```bash
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you enter the directory.

If you already use it, `direnv` is also fine.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
Is there a simple way to keep my OpenAI key in a project so I don't have to set it again and again each time I open a shell?,I don't know.,"Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
What should I use to auto-load environment variables from .env files across different shells and systems?,"Use **`dirdotenv`**. It auto-loads variables from `.env` across different shells and operating systems, and the course recommends it as more portable than `direnv`.

If you’re only loading variables inside Python scripts, use **`python-dotenv`**.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"If I already have direnv installed, can I use that for local API keys, and what setup do I need?","Yes, `direnv` is fine if you already use it.

Setup:
1. Create a `.envrc` file in your project.
2. Add your environment variable exports there, e.g.:
   ```bash
   export OPENAI_API_KEY=sk-...
   ```
3. Run:
   ```bash
   direnv allow
   ```
4. Make sure `.envrc` is in `.gitignore` so keys don’t get committed.

After that, the variables load automatically when you `cd` into the project directory.","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
"For Python scripts, how do I read values from a .env file without hardcoding the secret in code?","Use `python-dotenv` to load the `.env` file, then read the values with `os.getenv()`:

```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
```

Make sure your `.env` file contains the secret, for example:

```bash
OPENAI_API_KEY=sk-...
```

Also add `.env` to `.gitignore` so it isn’t committed:

```gitignore
.env
```

","Use [`dirdotenv`](https://github.com/alexeygrigorev/dirdotenv). It is like `direnv`, but works with both `.env` and `.envrc`, and is more portable across shells and operating systems.

```bash
uv tool install dirdotenv

# add this line to your ~/.bashrc or ~/.zshrc:
eval ""$(dirdotenv hook bash)""   # or zsh

# inside your project:
echo 'OPENAI_API_KEY=sk-...' > .env
echo '.env' >> .gitignore
```

After that, the key is loaded automatically when you `cd` into the project directory.

Important: always add `.env` and `.envrc` to `.gitignore` so keys never land on GitHub.

`direnv` is also fine if you already use it. In that case, create `.envrc`, add your exports there, and run `direnv allow`.

For GitHub Codespaces, use the built-in [Codespaces secrets](https://docs.github.com/en/codespaces/managing-your-codespaces/managing-your-account-specific-secrets-for-github-codespaces) instead of files in the repo.

For Python scripts, the equivalent is `python-dotenv`:

```python
from dotenv import load_dotenv
load_dotenv()  # loads .env from project root
```",8b2f5e9d04
How do I decide the best field weights in minsearch without just guessing?,"The systematic way is to **evaluate different field weights against a ground-truth dataset** rather than guessing.

A simple process:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weight settings in `minsearch`.
4. Compare retrieval metrics like:
   - hit rate
   - precision@k
   - recall@k
   - MRR

For small projects, trial and error can work, but **evaluation is the more reliable approach**.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What’s a good way to test different search field weights against some labeled examples?,"A good way is to evaluate the weights against a small labeled ground-truth set:

1. Create a set of representative queries.
2. Label which documents should be retrieved for each query.
3. Try different field-weight settings.
4. Compare retrieval metrics like hit rate, precision@k, recall@k, or MRR.

For small projects, trial and error can work, but this evaluation-based approach is more reliable.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
"Should I tune search weights by trial and error, or is there a better method to check them?","Use evaluation, not just trial and error.

A better method is to:
1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different search weights.
4. Compare retrieval metrics like hit rate, precision@k, recall@k, or MRR.

Trial and error can work for small projects, but evaluating against a ground-truth dataset is the more reliable approach.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
How can I build a small evaluation set to compare retrieval settings for my RAG project?,"Create a small ground-truth dataset:

1. Pick a set of representative questions from your RAG use case.
2. For each question, label which documents should be retrieved.
3. Run your retrieval with different settings.
4. Compare the results with retrieval metrics like hit rate, precision@k, recall@k, or MRR.

For small projects, you can also tune by trial and error, but the evaluation-based approach is more reliable.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Which metrics should I look at when comparing different field weights for search results?,"Compare retrieval metrics against a ground-truth dataset, especially:

- hit rate
- precision@k
- recall@k
- MRR

These are the metrics mentioned for evaluating different field weights.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What’s the best way to clean documents before using them in a RAG pipeline?,"The best way is to make the documents **clean, structured, and easy to chunk and retrieve**.

Key steps:
- Remove obvious noise like broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that’s easy to process.
- Chunk the documents so related context stays together.
- Keep metadata that may help later filtering or ranking.

The goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"When I prep files for retrieval, what should I remove and what should I keep?","Remove obvious noise like broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.

Keep useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure. Also keep metadata that may help filtering or ranking later.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to convert my documents into JSON for RAG, or is that optional?","JSON is optional, not required.

The course says the data should be **clean, structured, and easy to chunk and retrieve**. **JSON is often convenient, but it is not mandatory**.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
How should I chunk source documents so the retrieved context still makes sense?,"Chunk them so related context stays together, not just into fixed-length pieces.

A good approach is to:
- keep titles, section names, dates, page numbers, speaker names, and Q&A structure with the text
- remove noise like headers, footers, duplicate text, broken HTML, and OCR errors
- store the data in a structured format
- add metadata for later filtering or ranking

The goal is for each chunk to be self-contained enough that retrieved context still makes sense.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
What kind of metadata is worth storing to improve later filtering or ranking?,"Store metadata that may help you filter or rank later, such as:

- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Why does uv show a ""Failed to hardlink files"" message in GitHub Codespaces, and is it something I should worry about?","No, it’s not something you should worry about.

In GitHub Codespaces, `uv` sometimes can’t **hardlink** files between its cache and your project environment, so it prints **“Failed to hardlink files”**. It then **falls back to copying the files**, and the package still installs correctly.

If you want to suppress the warning in the current shell, run:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"If uv can’t hardlink files in Codespaces, will the package installation still work or fail?",The package installation will still work. `uv` will fall back to copying files if it can’t hardlink them in Codespaces.,"No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I stop the uv hardlink warning from showing up in my current terminal session?,"Run:

```bash
export UV_LINK_MODE=copy
```

This suppresses the hardlink warning for your current terminal session.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What’s the easiest way to make uv always use copy mode instead of hardlinking in Bash?,"The easiest way is to set `UV_LINK_MODE=copy` in your Bash profile:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

That makes uv use copy mode by default in future shells.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
