question,document
Does Kestra have something like a form editor instead of drag and drop?,bfe5502c30
Can I create a workflow in Kestra just by describing it in natural language?,bfe5502c30
What are the no-code ways to make and update a Kestra flow?,bfe5502c30
"If I use external tools like Claude Code or Codex, can they send flows straight into Kestra?",bfe5502c30
Why does ChatGPT make up Kestra YAML fields that aren’t actually supported in my version?,93a3e8b98c
How can I check whether the YAML an AI gave me matches the real Kestra plugin schema?,93a3e8b98c
"In Kestra GCS upload, why is `to` correct instead of separate `bucket` and `name` fields?",93a3e8b98c
"For `LoadFromGcs`, what should I use instead of splitting the BigQuery destination into project, dataset, and table?",93a3e8b98c
What’s the safest way to avoid broken Kestra flow YAML when I use AI to generate it?,93a3e8b98c
"Why do we bother tracking token usage in Kestra flows, and what does it help with cost-wise?",a4adc70f41
How can token counts help me make prompts shorter or better without hurting the output too much?,a4adc70f41
"In a Kestra workflow that keeps looping or runs on a schedule, how do you stop LLM calls from getting too expensive?",a4adc70f41
"What kind of token usage info can I grab from the model response in a Kestra task, and where should I show it?",a4adc70f41
Is there a way to use token monitoring as a warning system so a flow doesn’t run up a huge bill unnoticed?,a4adc70f41
"Why am I getting the Docker message that a path under /tmp is not shared from the host, and how do I let the container use it?",dd8b4c9fda
"In Docker Desktop, where do I add /tmp so a container can mount something like /tmp/kestra-wd without failing?",dd8b4c9fda
What should I change in Docker Desktop if Kestra starts with a mount denied error for /tmp/kestra-wd?,dd8b4c9fda
"After I get the 'mounts denied' error in docker compose, what setting do I need to update in Docker Desktop before running it again?",dd8b4c9fda
How can I fix the host path sharing issue in Docker Desktop when a container cannot access a folder under /tmp?,dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload to the repo if most of the work was done in the Kestra UI?",f29f622684
"Do I need to include the Kestra flow YAML files in my submission, or is a README with my answers enough?",f29f622684
"If I changed any scripts that the Kestra flows use, should those be added to the homework repository too?",f29f622684
Where should I put the Kestra homework files in the repo before sharing the public link for submission?,f29f622684
"When submitting Module 3, do I put my Q1, Q2, etc. answers in the GitHub repo or directly in the homework form?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How do I make the model return only valid JSON instead of prose or a code block?,a3c7e1b4f9
What should I put in the prompt so the response has exactly one `questions` field with 5 strings?,a3c7e1b4f9
Is there a way to tell OpenAI to force JSON output for this evaluation task?,a3c7e1b4f9
Do other LLM APIs have an option like `response_format` or `response_mime_type` to avoid broken JSON?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if loading the embedding model plus the notebook stuff is using too much RAM?,b8f2d6a30c
Is there a smaller embedding model I can use instead of the default one for this eval task?,b8f2d6a30c
Should I run the embedding step in a separate Python script if the notebook keeps dying?,b8f2d6a30c
How do I handle the ground-truth embeddings in batches so I don’t run out of memory?,b8f2d6a30c
Why does adding a 4-second sleep not stop Gemini from rate limiting my ground-truth generation run?,c1e9f4b820
What should I do if my long tqdm loop still exhausts Gemini's free quota even after slowing it down?,c1e9f4b820
Is there a cheaper or easier model/provider I can use instead of Gemini for building the ground-truth dataset?,c1e9f4b820
How can I reduce the chance of hitting API limits when I’m using a thread pool for these requests?,c1e9f4b820
What’s the best way to avoid losing progress if the generation job gets cut off by rate limits partway through?,c1e9f4b820
How do I fix the WinError 126 error on Windows when Python says it can’t load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
"If I get OSError: [WinError 126] with fbgemm.dll in PyTorch on Windows, what should I install to make it work?",15e931476c
"Why does PyTorch fail to import fbgemm.dll on my Windows machine, and what’s the usual fix?",15e931476c
"I’m seeing ""The specified module could not be found"" for fbgemm.dll in Python on Windows — do I need Visual C++ Redistributable or Visual Studio?",15e931476c
What can I do when torch installation on Windows throws a fbgemm.dll dependency error?,15e931476c
"Why am I getting psycopg2 OperationalError saying it can’t translate host name ""postgres"" when I run prep.py, and what should I change in the .env file?",4b65d5542d
"My python prep script fails with a PostgreSQL host lookup error for ""postgres"". How do I fix the connection settings?",4b65d5542d
"How do I stop the ""could not translate host name postgres to address"" error in prep.py? Do I need to edit POSTGRES_HOST somewhere?",4b65d5542d
"When I run prep.py, psycopg2 throws an OperationalError about the host name ""postgres"" not being found. What’s the correct host value to use?",4b65d5542d
What’s the fix for the No such host is known error from psycopg2 in module 5 monitoring?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
What setting do I need to change in Pandas to see the whole Explanation field in the offline-rag-evaluation notebook?,641aedbbf5
"Why is Pandas showing ""..."" in my text column, and how can I stop it?",641aedbbf5
"In the LLM-as-judge part, how can I display the complete judge explanation without truncation?",641aedbbf5
Is there a simple Pandas option to remove the 50-character limit for column text?,641aedbbf5
How can I normalize vector values inside a Pandas DataFrame column?,5039707c1a
What's a simple way to normalize each vector in a Pandas Series with NumPy?,5039707c1a
Is there a quick lambda-based method to scale vectors to unit length in a DataFrame column?,5039707c1a
How do I create a new column with normalized vectors from an existing one in Pandas?,5039707c1a
Can I use apply() to normalize every array-like value in a DataFrame column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find the percentile value for a column in a DataFrame using Pandas?,b4c8ac5a0c
Is there a simple method in Pandas to compute quantiles on a column?,b4c8ac5a0c
"How do I use `quantile()` to get the 75% percentile from `df[""col""]`?",b4c8ac5a0c
"How do I wipe every Docker container from the terminal, even the ones that are still running?",66ccbb7da0
What command should I use to force-delete all my Docker images at once?,66ccbb7da0
How can I remove every Docker volume with one terminal command?,66ccbb7da0
"Is there a quick way to clear out all Docker containers, images, and volumes from the command line?",66ccbb7da0
"What are the commands to clean up Docker completely when I want to delete containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only send feedback once per submission, like +1 or -1, in Streamlit?",2e729f1271
Why does `st.session.submitted` keep getting set back to True even after I click one of the feedback buttons?,2e729f1271
I’m using an ask button and want the feedback buttons disabled unless a submission exists — what’s the right way to handle this in session state?,2e729f1271
What should I check if my Streamlit session flag changes unexpectedly after pressing a feedback button?,2e729f1271
Is there a known fix for the problem where Streamlit session attributes seem to be reassigned after one feedback action?,2e729f1271
"Why do I get `streamlit: executable file not found in $PATH` when I start my app with docker-compose, even though it works locally?",e8df9f0d12
Do I need a Dockerfile for a Streamlit app to run properly in docker-compose?,e8df9f0d12
How can I fix the container startup error where Docker says it can't find `streamlit`?,e8df9f0d12
What should I add to my docker-compose setup so Streamlit starts inside the container?,e8df9f0d12
"After changing my Docker setup for Streamlit, what command should I use to rebuild everything and run it again?",e8df9f0d12
"Can I do the capstone with a teammate, or does it have to be solo?",0fab61eca2
"If we want to work on the same idea, is that allowed for the capstone?",0fab61eca2
Can one shared system count if each person submits their own part separately?,0fab61eca2
Does each student need their own repo for the capstone project?,0fab61eca2
What happens if our project pieces can’t be graded independently for each person?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What does attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first capstone submission gets rejected, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and do they have to be on different topics?",d5fc98925d
"If I miss the first submission deadline, can I still join the second one without losing the chance to finish the project?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate things?",e892d44e42
Is it allowed to do the capstone together with other people if we join the competition as a team?,e892d44e42
"If I participate in the math kaggle LLM competition, does that automatically count toward the capstone?",e892d44e42
Is the capstone in this course supposed to be done alone even if I team up for the competition?,e892d44e42
"Do I have to submit an individual capstone, or can a group project replace it?",e892d44e42
How will my capstone project be graded in this course?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I need to grade other students’ capstone projects too?,9a2e2d2008
What happens if I don’t do the required peer reviews?,9a2e2d2008
Is the final score based on all reviewer grades or some kind of average?,9a2e2d2008
"After the submission deadline, how are the projects for review or grading assigned to each participant?",eae0fb50aa
When will we get the list of projects we need to review for the capstone?,eae0fb50aa
"Will the review assignments come before or after the deadline, and in what format are they shared?",eae0fb50aa
"How many projects does each participant have to grade, and how are they distributed?",eae0fb50aa
"Is there an Excel sheet with the review tasks, and when should we expect it?",eae0fb50aa
"I already sent in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
"After submitting my project, when am I actually supposed to start reviewing other projects?",a8a7fef016
Why can’t I pick a project to evaluate myself after the deadline has passed?,a8a7fef016
Is there a reason project reviews only become available once the assigned list is released?,a8a7fef016
"I submitted my work already, but the review section is empty — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a GitHub page with a list of datasets I can use for the project?,e76a70cde3
How do I get ideas for the llm-zoomcamp capstone project?,e76a70cde3
Can you point me to some project ideas plus datasets for the capstone?,e76a70cde3
"What page has tips, guidelines, and dataset suggestions for the project?",e76a70cde3
"Do I have to use Airflow, Mage, or Kestra in the capstone project, or is a simple Python script enough?",d4f7c08ea1
"For the ingestion pipeline part of the capstone, will a Jupyter notebook count, or do I need a real orchestrator?",d4f7c08ea1
"If I build the data ingestion and indexing in plain Python, can I still get full points for that criterion?",d4f7c08ea1
When would it make sense to add an orchestration tool to the capstone instead of just using a script?,d4f7c08ea1
"Is an orchestrator required for the project, or is it only useful for something like daily recurring ingestion?",d4f7c08ea1
How can I test a recommender-style RAG when there isn’t an obvious ground-truth answer set?,9b0e2d6a47
What’s a good way to build synthetic eval data for item retrieval from product descriptions or item text?,9b0e2d6a47
"If I ask an LLM to generate queries for each item, how do I measure retrieval quality afterward?",9b0e2d6a47
"For a ranking-focused RAG system, should I use hit rate, MRR, or NDCG?",9b0e2d6a47
"Can I use an LLM as a judge to score end-to-end RAG results, and what kind of rubric should I give it?",9b0e2d6a47
"My PDFs are huge and full of paragraphs — what chunking approach should I start with, and how do I know if it’s actually better?",6f2a8b3d10
Is it worth using an LLM to split documents into sections instead of just doing fixed-size chunks?,6f2a8b3d10
"Would adding a short summary to each chunk help retrieval, or is that overkill?",6f2a8b3d10
"For legal or financial docs with lots of exact wording, should I use semantic search only, or something else too?",6f2a8b3d10
What tools do you recommend for turning PDFs into clean markdown before I chunk them?,6f2a8b3d10
"What do you mean by reproducibility in the capstone project, and do reviewers need my API keys for it?",e5d8a2c761
How should I let someone recreate my project from the repo without exposing any hosted service credentials?,e5d8a2c761
"Should I include my actual .env file in the project, or is there a safer way to share the needed variables?",e5d8a2c761
Do I need a script or notebook that rebuilds the dataset and search index from scratch for the reviewer?,e5d8a2c761
"What should I pin or document so the project runs the same way on another machine, like Python, Docker, or dependency versions?",e5d8a2c761
"Can I do the homework or capstone in something other than Python, like JavaScript, Go, or Rust?",ea815eb858
"If I build the project with a non-Python stack, what should I include so the reviewer can run it easily?",ea815eb858
"Is it okay to use Java, Scala, C#, R, or TypeScript instead of Python for this course?",ea815eb858
Why does the course recommend Python so strongly for assignments and the final project?,ea815eb858
What kind of README or setup instructions are expected if I submit a project in another language?,ea815eb858
Where can I check out past LLM Zoomcamp capstone projects?,930286278d
Is there a page with old project submissions from previous LLM Zoomcamp cohorts?,930286278d
Can I see examples of capstone repos from 2024 or 2025 somewhere?,930286278d
Where are the links to earlier LLM Zoomcamp projects posted?,930286278d
I want to look at submitted LLM Zoomcamp projects to get a feel for the scope — where should I go?,930286278d
"Do I have to announce my capstone project idea before I start working on it, or can I just begin?",897a350476
"Is there any need to reserve a project topic for the llm-zoomcamp capstone, or is that unnecessary?",897a350476
"Can I ask for feedback on my project idea somewhere before I build it, maybe in Slack?",897a350476
Where can I check examples of previous capstone projects to get a sense of the expected scope?,897a350476
"If someone else already did a similar project, can I still choose the same topic for my submission?",897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
"Is a CLI, Slack app, or notebook also acceptable for the project interface?",7318a90b14
Are there any strict rules about how the end user should access the capstone project?,7318a90b14
"Will the course show us how to create things like Telegram, WhatsApp, or Slack interfaces?",7318a90b14
"If I choose a non-web interface for my project, is that okay as long as it passes the evaluation criteria?",7318a90b14
"What’s the best tool to pull text out of PDFs for a RAG app, especially if I have a mix of regular and scanned files?",d8b28c47a0
"Do we need to use a specific PDF extraction library in the capstone, or can we choose whatever works on our docs?",d8b28c47a0
"If my PDFs are images and don’t have selectable text, what OCR option would you recommend for the project?",d8b28c47a0
"Has anyone tried docling, PyMuPDF, or unstructured for document extraction in RAG — which one gives cleaner output?",d8b28c47a0
"After extracting text from PDFs, what should I do next to get the documents ready for RAG?",d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is that not allowed?",d850a0e7ea
"If dlt is open source, does that mean I can apply the workshop stuff to other projects too?",d850a0e7ea
Would it be okay to use this material for something like an MLOps Zoomcamp project?,d850a0e7ea
Am I allowed to take the workshop examples and build on them in my own work?,d850a0e7ea
Can I ask questions about the material and also use it directly in a project?,d850a0e7ea
How do I create a new dlt project for loading data from the cloud?,6bceeebf04
What command should I run to initialize a dlt filesystem to duckdb setup?,6bceeebf04
I'm trying to start a fresh dlt project for cloud files — what's the first command?,6bceeebf04
Is there a quick way to bootstrap a dlt pipeline from filesystem into DuckDB?,6bceeebf04
Where do I begin if I want to set up dlt for loading cloud data into DuckDB?,6bceeebf04
Why do I get `Table notion_pages___homework does not exist` when I try `db.open_table(...)` in the dlt workshop?,0407213397
What should I change if my pipeline still says `employee_handbook` instead of `homework`?,0407213397
I’m seeing a `FileNotFoundError` for `notion_pages___homework` — what does that usually mean in the settings?,0407213397
How do I fix the issue where the table name exists in my code but not when opening it with `db.open_table`?,0407213397
Could this error happen because I missed some `employee_handbook` references when switching to `homework`?,0407213397
"Why am I getting FileNotFoundError for notion_pages___homework when I run main(), and how do I fix it?",e95bfafc0e
My script says Table notion_pages___homework does not exist — is there a wrong table name I should be using?,e95bfafc0e
How do I open the right table in the dlt workshop if db.open_table is failing on notion_pages___homework?,e95bfafc0e
What should line 3 look like so the notebook can find the notion_pages___homework table?,e95bfafc0e
I keep seeing an error that the table doesn't exist in main(); what exact table should I open instead?,e95bfafc0e
How can I see all tables that exist in the database?,e394e6f738
Is there a way to list the table names from the DB?,e394e6f738
What method should I use to check which tables are there?,e394e6f738
How do I get a list of every table in the database?,e394e6f738
How can I inspect the DB to find out what tables it contains?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are they missing for now?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks without building my own connector?,cd19f122f3
Is there any built-in connector in dlt for ClickHouse or StarRocks right now?,cd19f122f3
"If dlt doesn't support ClickHouse or StarRocks, can the community contribute one?",cd19f122f3
"Are ClickHouse and StarRocks planned as dlt connectors, or do I need to wait for community support?",cd19f122f3
Why am I getting a 401 Unauthorized when the notebook tries to call the Notion search endpoint?,0dfba07ace
What should I check first if the notebook says it doesn’t have secret access for api.notion.com/v1/search?,0dfba07ace
Could this Notion API error be because my token is wrong or expired?,0dfba07ace
Do I need to verify the endpoint or permissions when I see this authorization problem in the dlt notebook?,0dfba07ace
What are the usual fixes for the Notion API auth error in this workshop notebook?,0dfba07ace
How do I install the newer requests version from the GitHub source instead of the old pip one?,4b30b918bc
"My setup keeps pulling requests 2.28, what exact pip command gets 2.32.3?",4b30b918bc
Is there a way to force-install requests from a zip URL for lancedb compatibility?,4b30b918bc
"Why am I getting a 401 Client Error here, and could it be because the key needs access or is wrong?",4b30b918bc
What’s the command to fix the requests version issue when lancedb needs v2.32 instead of v2.28?,4b30b918bc
